State;Code;Region;Developement;Population;Infectious and parasitic diseases;Respiratory Infectious ;Maternal conditions;Neonatal conditions;Nutritional deficiencies;Malignant neoplasms;Other neoplasms;Diabetes mellitus;Endocrine, blood, immune disorders;Mental and substance use disorders;Neurological conditions;Sense organ diseases;Cardiovascular diseases;Respiratory diseases;Digestive diseases;Genitourinary diseases;Skin diseases;Musculoskeletal diseases;Congenital anomalies;Oral conditions;Sudden infant death syndrome;Road injury;Poisonings;Falls;Fire, heat and hot substances;Drowning;Exposure to mechanical forces;Natural disasters;Other unintentional injuries;Self-harm;Interpersonal violence;Collective violence and legal intervention
Mauritania;MRT;Africa;Developing;4301;7,5;3,6;0,9;4,6;0,7;1,6;0,1;0,6;0,3;0,1;0,6;0;5,2;0,7;1,4;0,7;0,1;0;0,7;0;0,1;1,1;0,1;0,3;0,1;0,2;0,2;0;0,5;0,2;0,5;0
Mauritius;MUS;Africa;Developing;1262;0,2;0,3;0;0,1;0;1,2;0,1;2,4;0,1;0,1;0,2;0;3,3;0,9;0,4;0,2;0;0;0,1;0;0;0,2;0;0,1;0;0;0;0;0,1;0,1;0;0
Mexico;MEX;America;Developing;127540;16,5;22,6;0,8;13,4;11;80,1;5,9;99,6;11;5;11,5;0;159,3;36,5;63,2;30,2;2,6;5,1;11,2;0,2;0,3;15,3;0,5;2,8;0,6;2;1,4;0;13,3;6,5;21,5;3
Micronesia (Federated States of);FSM;Oceania;Developing;105;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mongolia;MNG;Asia;Developing;3027;0,9;0,4;0;0,5;0;4;0;0,1;0,1;0,3;0,4;0;7,5;0,3;1,6;0,4;0;0;0,3;0;0;0,6;0;0,2;0,1;0,1;0;0;0,3;0,4;0,3;0
Montenegro;MNE;Europe;Transition;629;0;0,1;0;0;0;1,4;0;0,2;0;0;0,3;0;3,8;0,2;0,1;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0
Morocco;MAR;Africa;Developing;35277;6,9;7,6;0,5;10;0,4;26;1,3;10,6;1;0,5;12,5;0;69,5;6,4;4,9;8,5;0,5;0,1;2,8;0;0,2;6,7;0,2;1;0,5;0,5;0,4;0;1;1;0,5;0
Mozambique;MOZ;Africa;Developing;28829;116;17,6;3,7;27,1;3,6;20,8;0,5;2,7;1,5;0,3;3;0;23,7;2,9;5,4;1,8;0,9;0,1;4,8;0;0,5;8,5;0,8;1,7;1,3;1,6;0,9;0;3;1,4;0,7;0,1
Myanmar;MMR;Asia;Developing;52885;57,1;20,4;1,2;20;2,7;54;0,6;16,9;2,6;1,8;14,4;0;108,2;35,7;35;15,2;1,2;0,9;4,9;0;0,4;10,2;0,7;7,5;1,2;3;1,1;0;5,8;4,1;2,2;1,2
Namibia;NAM;Africa;Developing;2480;6,2;1,5;0,2;1,2;0,2;1;0;0,8;0,1;0,1;0,5;0;3,3;0,7;0,5;0,3;0,1;0;0,3;0;0;0,6;0;0;0,1;0,1;0,1;0;0,2;0,2;0,5;0
Nepal;NPL;Asia;Developing;28983;24,1;9,7;1,2;9,9;0,8;17;0,2;6,6;0,6;0,4;5;0;55,1;19;8,5;5,9;0,3;0,1;2;0;0,2;5,1;0,1;3,2;0,4;1,2;0,4;0;2,1;2,5;1;0
Netherlands;NLD;Europe;Developed;16987;2,4;4,7;0;0,3;0,3;47,3;1,8;3;1;0,8;20,3;0;38,1;10,8;4,9;3,5;0,3;1,2;0,5;0;0;0,6;0;3,3;0;0,1;0,1;0;1,4;2,1;0,1;0
New Zealand;NZL;Oceania;Developed;4661;0,3;0,9;0;0,1;0;9,1;0,2;0,9;0,3;0,1;3;0;9,5;2,2;1;0,5;0,1;0,3;0,2;0;0;0,3;0;0,6;0;0,1;0,1;0;0,2;0,6;0,1;0
Nicaragua;NIC;America;Developing;6150;1;1,1;0,2;0,8;0,2;4,1;0,1;1,6;0,2;0,5;1,6;0;7,2;1;2,1;3;0,1;0,1;0,6;0;0;0,9;0;0,3;0;0,3;0,1;0;0,4;0,7;0,9;0
Niger;NER;Africa;Developing;20673;61;26,8;5,7;24,1;7,4;5,6;0,2;2,5;2,6;0,3;2;0;22,3;3,8;6,6;2,7;0,3;0,1;4,4;0;0,3;6,5;0,9;1,4;1,2;2,2;1,6;0;3,7;0,9;2,1;0,1
