id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
842077,4 Cosy rooms near Central Station,4396703,Son,,Amandus - Atheneum,51.22124,4.42575,Private room,40,1,380,2019-04-03,4.95,4,339
866701,4 Cosy rooms near Central Station,4396703,Son,,Amandus - Atheneum,51.2207,4.42549,Private room,40,1,267,2019-04-03,3.52,4,358
891355,"BorzeB&B, sleeping in the heart of Antwerp!",1366391,Micheline,,Universiteitsbuurt,51.22043,4.40562,Private room,85,1,69,2019-02-24,0.95,1,0
891884,aplace antwerp (2/1): amazing suite & square view,234077,Karin,,Historisch Centrum,51.21874,4.39835,Private room,150,1,0,,,4,158
891907,aplace antwerp (1/1): homey flat with square view,234077,Karin,,Historisch Centrum,51.21797,4.3999,Entire home/apt,180,2,3,2015-05-30,0.05,4,187
959200,NEST,4715596,Caroline & Klaas,,Borgerhout Intra Muros Noord,51.21596,4.43764,Entire home/apt,60,2,40,2019-02-24,0.61,2,355
961296,Great Classic House in Antwerp (10p),3189018,Cathy,,Borgerhout Intra Muros Noord,51.21531,4.44498,Entire home/apt,340,2,35,2019-04-14,0.61,3,151
991824,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20386,4.45937,Entire home/apt,77,1,205,2019-04-14,2.81,2,337
1038791,Central apartment with kitchen and shower,5717453,Ann,,Universiteitsbuurt,51.22252,4.40751,Entire home/apt,62,2,285,2019-01-10,3.88,1,151
1050693,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20295,4.4593,Entire home/apt,77,1,10,2018-11-04,0.15,2,337
1105318,"Number22Antwerp, cosy duplex",6068286,Frederic Luca,,Zuid,51.21024,4.39995,Entire home/apt,75,1,20,2017-12-24,0.28,3,361
1108491,3 Cosy Rooms near Central Station!,4396703,Son,,Amandus - Atheneum,51.2206,4.42486,Private room,40,1,206,2019-03-04,2.84,4,357
1146375,Cozy apartment near Antwerp Central Station,1764235,Isa,,Borgerhout Intra Muros Noord,51.21751,4.4298,Entire home/apt,45,1,109,2019-03-31,1.53,1,251
1159039,Spacious & light apartment Antwerp,2580903,Kim,,Markgrave,51.19329,4.41189,Entire home/apt,73,2,8,2014-08-12,0.12,1,78
1184623,Luxe penthouse,4865806,Tommie,,Eilandje,51.23133,4.41015,Entire home/apt,175,3,12,2019-01-02,0.18,1,322
1209063,Room with a view!,6596883,Martine,,Borgerhout Intra Muros Zuid,51.21053,4.43308,Entire home/apt,77,1,26,2018-12-09,0.38,1,176
1235629,Sunny & comfortable apartment,4111664,Ria,,Tentoonstellingswijk,51.1914,4.38873,Entire home/apt,55,5,5,2019-03-31,0.07,1,269
1266888,Entire Artist Apartment Antwerp!,1718830,Sachli,,Amandus - Atheneum,51.2229,4.4184,Entire home/apt,90,2,80,2019-02-25,1.13,1,72
1267516,"Suites in Antwerp:""Suite Frederik""",5758428,Philip-Emmanuel,,Zurenborg,51.207,4.42702,Entire home/apt,179,1,3,2013-10-13,0.04,2,358
1292916,Cosy room in historic town centre,3998871,Rob,,Stadspark,51.21432,4.41321,Private room,45,2,49,2018-02-16,0.70,1,0
1328770,Cosy historic Ship Hannus  Antwerp,4193029,Jan,,Eilandje,51.22875,4.40254,Private room,40,1,113,2019-04-17,1.62,1,308
1338036,Leuke stadswoning met zuidtuin en eco-zwemvijver,4067344,Siri,,Borgerhout Extra Muros,51.19796,4.45632,Private room,60,3,2,2017-07-30,0.06,1,185
1405414,bright apartment with parkview,4870468,Jo - Debora,,Stadspark,51.21388,4.41573,Entire home/apt,90,3,89,2019-02-24,1.28,1,330
1427505,Trendy apartment near city park !,7672678,Mark,,Stadspark,51.21205,4.41315,Entire home/apt,80,10,38,2019-04-01,0.54,1,298
1444602,Ground floor appartment with garden,7755956,Sabien,,Zurenborg,51.20794,4.42839,Entire home/apt,50,3,8,2014-12-25,0.12,1,0
1504952,"""Antwerp B&B""",573329,Patricia,,Centraal Station,51.21692,4.42749,Private room,100,1,46,2018-12-19,0.67,1,341
1534890,Camping in a Theatre-Atelier: temporarily closed,8185571,Theatre-Atelier,,Deurne Noord,51.23229,4.45124,Private room,35,1,150,2018-04-01,2.20,1,0
1577011,New and bright apartment in center,8382721,Rien,,Stuivenberg,51.22105,4.42809,Entire home/apt,65,3,31,2019-03-18,0.46,1,268
1685249,Bright and spacious appart. near trendy hotspots,7392260,Emilie,,Zurenborg,51.20666,4.43092,Entire home/apt,70,1,23,2018-04-15,0.70,1,67
1708652,"Suites in Antwerp: ""suite Joachim""",5758428,Philip-Emmanuel,,Zurenborg,51.20828,4.42645,Entire home/apt,70,2,0,,,2,359
1779539,Bed & Breakfast The Welcome House,9342946,Tine,,Zurenborg,51.20668,4.42854,Private room,75,1,14,2019-03-31,1.18,1,361
1785355,Cosy room behind the zoo!,5537956,Héloïse,,Stuivenberg,51.22266,4.43502,Private room,33,1,174,2019-04-16,2.60,1,67
1791465,Lovely flat in trendy neighborhood,9399334,Dirk & Leen,,Borgerhout Intra Muros Noord,51.21406,4.43907,Entire home/apt,38,3,68,2018-11-26,1.02,1,228
1808782,LOFT 1D  - conceptual loft,9478810,Keith,,Sint-Andries,51.21274,4.39507,Entire home/apt,125,2,162,2019-02-24,2.49,1,298
1897272,Casa Ambera,9174116,Rob Javier Sascha,,Haringrode,51.20027,4.41905,Entire home/apt,202,2,64,2019-04-07,0.99,1,356
1901179,Cosy apartment near Central Station,4417826,Timur,,Amandus - Atheneum,51.22,4.42503,Entire home/apt,64,1,389,2019-04-12,5.94,1,341
1986344,Whitebox loft with a VIEW!!!,3149952,Isabelle,,Zuid,51.21094,4.39756,Entire home/apt,104,2,236,2019-04-15,3.63,1,300
2059299,Casual house nicely located,7034290,Kwinten,,Haringrode,51.20202,4.41754,Private room,22,2,24,2019-04-05,1.74,3,133
2059774,spacious and comfortable apartment,8689159,Agnes,,Oud - Berchem,51.19714,4.41722,Entire home/apt,85,3,8,2019-04-01,0.12,1,362
2069688,Authentic centre Antwerp: cozy view,10583986,Amada,,Historisch Centrum,51.22642,4.401,Entire home/apt,60,2,129,2019-03-31,1.99,1,354
2073182,Lovely quiet studio flat by the city center,10598905,Eddie,,Stadspark,51.20612,4.41758,Entire home/apt,23,800,0,,,6,354
2086302,Cozy apartment in Antwerp-Berchem,4218557,Anke,,Groenenhoek,51.1958,4.4392,Entire home/apt,45,62,11,2015-10-27,0.17,1,314
2087821,Bemeubeld instapklaar appartement - lange termijn,10657943,Ariane,,Zurenborg,51.20965,4.4254,Entire home/apt,37,30,7,2019-04-14,0.11,1,249
2110810,Spacious flat with sunny garden!,6914531,Frederik,,Centraal Station,51.21063,4.41828,Entire home/apt,77,5,4,2019-01-02,0.06,1,363
2133274,Middelheim Guest House,10885207,Armand,,Oosterveld - Elsdonk,51.17635,4.42433,Private room,75,1,9,2019-03-31,0.24,1,332
2154692,Authentic and very light studio in Antwerp,3199983,Elisabeth,,Stuivenberg,51.22725,4.43552,Entire home/apt,49,2,31,2018-07-01,1.48,2,170
2194840,Fully equiped Appartement,11087865,Rooms Antwerpen,,Universiteitsbuurt,51.22298,4.41342,Entire home/apt,36,1,371,2019-04-01,5.82,7,293
2230592,Loft near Sportpaleis,3488121,Jan,,Deurne Noord,51.22979,4.44464,Private room,50,1,29,2018-12-23,0.46,1,88
2347414,The chill place in Antwerp 2,3189018,Cathy,,Borgerhout Intra Muros Noord,51.21711,4.44417,Private room,85,2,1,2017-04-24,0.04,3,162
2427717,Cosy vintage flat ° center Antwerp,12409903,Annick,,Theaterbuurt-Meir,51.21659,4.4073,Entire home/apt,110,1,245,2019-03-13,3.92,2,338
